temp,sp,denli,denva,enth,heatli,heatva,therli,therva,dynli,dynva,prandlli,prandlva,vol,surf
-40,71.66,690.2,0.6435,1389,4414,2242,,0.01792,2.93E-04,7.96E-06,,0.9955,0.00176,0.03565
-30,119.4,677.8,1.037,1360,4465,2322,,0.01898,2.63E-04,8.31E-06,,1.017,0.00185,0.03341
-25,151.5,671.5,1.296,1345,4489,2369,0.5968,0.01957,2.49E-04,8.49E-06,1.875,1.028,0.0019,0.03229
-20,190.1,665.1,1.603,1329,4514,2420,0.5853,0.02015,2.36E-04,8.67E-06,1.821,1.041,0.00194,0.03118
-15,236.2,658.6,1.966,1313,4538,2476,0.5737,0.02075,2.36E-04,8.85E-06,1.769,1.056,0.00199,0.03007
-10,290.8,652.1,2.391,1297,4564,2536,0.5621,0.02138,2.12E-04,9.03E-06,1.718,1.072,0.00205,0.02896
-5,354.9,645.4,2.886,1280,4589,2601,0.5505,0.02203,2.00E-04,9.22E-06,1.67,1.089,0.0021,0.02786
0,429.6,638.6,3.458,1262,4617,2672,0.539,0.0227,1.90E-04,9.41E-06,1.624,1.107,0.00216,0.02676
5,516,631.7,4.116,1244,4645,2749,0.5274,0.02341,1.79E-04,9.59E-06,1.58,1.126,0.00223,0.02566
10,615.3,624.6,4.87,1226,4676,2831,0.5158,0.02415,1.70E-04,9.78E-06,1.539,1.147,0.0023,0.02457
15,728.8,617.5,5.729,1206,4709,2920,0.5042,0.02492,1.61E-04,9.98E-06,1.5,1.169,0.00237,0.02348
20,857.8,610.2,6.705,1186,4745,3016,0.4927,0.02573,1.52E-04,1.02E-05,1.463,1.193,0.00245,0.0224
25,1003,602.8,7.809,1166,4784,3120,0.4811,0.02658,1.44E-04,1.04E-05,1.43,1.218,0.00254,0.02132
30,1167,595.2,9.055,1144,4828,3232,0.4695,0.02748,1.36E-04,1.06E-05,1.399,1.244,0.00264,0.02024
35,1351,587.4,10.46,1122,4877,3354,0.4579,0.02843,1.29E-04,1.08E-05,1.372,1.272,0.00275,0.01917
40,1555,579.4,12.03,1099,4932,3486,0.4464,0.02943,1.22E-04,1.10E-05,1.347,1.303,0.00287,0.0181
45,1782,571.3,13.8,1075,4993,3631,0.4348,0.03049,1.16E-04,1.12E-05,1.327,1.335,0.00301,0.01704
50,2033,562.9,15.78,1051,5063,3790,0.4232,0.03162,1.09E-04,1.14E-05,1.31,1.371,0.00316,0.01598
55,2310,554.2,18,1025,5143,3967,0.4116,0.03283,1.04E-04,1.17E-05,1.297,1.409,0.00334,0.01493
60,2614,545.2,20.48,997.4,5234,4163,0.4001,0.03412,9.85E-05,1.19E-05,1.288,1.452,0.00354,0.01389
65,2948,536,23.26,968.9,5340,4384,0.3885,0.0355,9.35E-05,1.21E-05,1.285,1.499,0.00377,0.01285
70,3312,526.3,26.39,939,5463,4634,0.3769,0.037,8.88E-05,1.24E-05,1.287,1.551,0.00404,0.01181
75,3709,516.2,29.9,907.5,5608,4923,0.3653,0.03862,8.44E-05,1.26E-05,1.296,1.612,0.00436,0.01079
80,4141,505.7,33.87,874.1,5780,5260,0.3538,0.04038,8.03E-05,1.29E-05,1.312,1.683,0.00474,0.00977
85,4609,494.5,38.36,838.6,5988,5659,0.3422,0.04232,7.65E-05,1.32E-05,1.338,1.768,0.00521,0.00876
90,5116,482.8,43.48,800.6,6242,6142,0.3306,0.04447,7.28E-05,1.35E-05,1.375,1.871,0.00579,0.00776
95,5665,470.2,49.35,759.8,6561,6740,0.319,0.04687,6.95E-05,1.39E-05,1.429,1.999,0.00652,0.00677
100,6257,456.6,56.15,715.5,6972,7503,0.3075,0.04958,6.63E-05,1.43E-05,1.503,2.163,0.00749,0.00579
