"temp","sp","denli","denva","enth","heatli","heatva","therli","therva","dynli","dynva","prandlli","prandlva","vol","surf"
"-40","0051.2","1418","0002.773","0225.9","1254","0748.6","0000.1101","0000.00811","4.88E-4","2.55E-6","0005.558","0000.235","0000.00205","0000.01760"
"-35","0066.2","1403","0003.524","0222.7","1264","0764.1","0000.1084","0000.00862","4.51E-4","3.01E-6","0005.257","0000.266","0000.00209","0000.01682"
"-30","0084.4","1389","0004.429","0219.5","1273","0780.2","0000.1066","0000.00913","4.18E-4","3.50E-6","0004.992","0000.299","0000.00215","0000.01604"
"-25","0106.5","1374","0005.509","0216.3","1283","0797.2","0000.1047","0000.00963","3.88E-4","4.05E-6","0004.757","0000.335","0000.00220","0000.01527"
"-20","0132.8","1359","0006.787","0213.0","1294","0814.9","0000.1028","0000.01013","3.61E-4","4.65E-6","0004.548","0000.374","0000.00227","0000.01451"
"-15","0164.0","1343","0008.288","0209.5","1306","0833.5","0000.1009","0000.01063","3.37E-4","5.30E-6","0004.363","0000.415","0000.00233","0000.01376"
"-10","0200.7","1327","0010.04","0206.0","1318","0853.1","0000.0989","0000.01112","3.15E-4","5.98E-6","0004.198","0000.459","0000.00241","0000.01302"
"-5","0243.5","1311","0012.07","0202.4","1330","0873.8","0000.0968","0000.01161","2.95E-4","6.71E-6","0004.051","0000.505","0000.00249","0000.01229"
"0000","0293.0","1295","0014.42","0198.7","1344","0895.6","0000.0947","0000.01210","2.76E-4","7.47E-6","0003.919","0000.553","0000.00258","0000.01156"
"0005","0349.9","1278","0017.12","0194.8","1358","0918.7","0000.0925","0000.01259","2.59E-4","8.26E-6","0003.802","0000.603","0000.00269","0000.01084"
"0010","0414.9","1261","0020.22","0190.8","1374","0943.2","0000.0903","0000.01308","2.43E-4","9.08E-6","0003.697","0000.655","0000.00280","0000.01014"
"0015","0488.7","1244","0023.75","0186.6","1390","0969.4","0000.0880","0000.01357","2.28E-4","9.92E-6","0003.604","0000.708","0000.00293","0000.00944"
"0020","0572.1","1226","0027.77","0182.3","1408","0997.6","0000.0856","0000.01406","2.14E-4","1.08E-5","0003.521","0000.763","0000.00307","0000.00876"
"0025","0665.8","1207","0032.34","0177.8","1427","1028","0000.0833","0000.01456","2.01E-4","1.16E-5","0003.448","0000.819","0000.00324","0000.00808"
"0030","0770.6","1188","0037.53","0173.1","1448","1061","0000.0808","0000.01507","1.89E-4","1.24E-5","0003.383","0000.877","0000.00342","0000.00742"
"0035","0887.5","1168","0043.41","0168.2","1471","1098","0000.0783","0000.01558","1.77E-4","1.33E-5","0003.328","0000.935","0000.00364","0000.00677"
"0040","1017.1","1147","0050.08","0163.0","1498","1138","0000.0757","0000.01610","1.66E-4","1.41E-5","0003.285","0000.995","0000.00390","0000.00613"
"0045","1160.5","1125","0057.66","0157.6","1529","1184","0000.0731","0000.01664","1.55E-4","1.49E-5","0003.253","0001.058","0000.00420","0000.00550"
"0050","1318.6","1102","0066.27","0151.8","1566","1237","0000.0704","0000.01720","1.45E-4","1.56E-5","0003.231","0001.123","0000.00455","0000.00489"
"0055","1492.3","1078","0076.11","0145.7","1608","1298","0000.0676","0000.01777","1.35E-4","1.63E-5","0003.223","0001.193","0000.00500","0000.00429"
"0060","1682.8","1053","0087.38","0139.1","1659","1372","0000.0647","0000.01838","1.26E-4","1.70E-5","0003.229","0001.272","0000.00554","0000.00372"
"0065","1891.0","1026","0100.4","0132.1","1722","1462","0000.0618","0000.01902","1.17E-4","1.77E-5","0003.255","0001.362","0000.00624","0000.00315"
"0070","2118.2","0996.2","0115.6","0124.4","1801","1577","0000.0587","0000.01972","1.08E-4","1.84E-5","0003.307","0001.471","0000.00716","0000.00261"
"0075","2365.8","0964","0133.6","0115.9","1907","1731","0000.0555","0000.02048","9.89E-5","1.91E-5","0003.400","0001.612","0000.00843","0000.00209"
"0080","2635.2","0928.2","0155.3","0106.4","2056","1948","0000.0521","0000.02133","9.01E-5","1.98E-5","0003.558","0001.810","0000.01031","0000.00160"
"0085","2928.2","0887.1","0182.3","0095.4","2287","2281","0000.0484","0000.02233","8.12E-5","2.07E-5","0003.837","0002.116","0000.01336","0000.00114"
"0090","3246.9","0837.7","0217.8","0082.2","2701","2865","0000.0444","0000.02357","7.20E-5","2.19E-5","0004.385","0002.658","0000.01911","0000.00071"
"0095","3594.1","0772.5","0269.3","0064.9","3675","4144","0000.0396","0000.02544","6.19E-5","2.37E-5","0005.746","0003.862","0000.03343","0000.00033"
"0100","3975.1","0651.7","0376.3","0033.9","7959","8785","0000.0322","0000.02989","4.76E-5","2.83E-5","0011.77","0008.326","0000.10047","0000.00004"
